ID,followers_count,friends_count,listed_count,favourites_count
272395158,154649 ,115 ,925 ,130 ,0
1268970789883314180,0 ,89 ,0 ,373 ,0
38495835,2412979 ,6 ,9772 ,0 ,0
39344374,5490926 ,1473 ,13143 ,17307 ,0
43017766,4538491 ,53 ,4520 ,79 ,0
18180495,2927 ,363 ,35 ,1194 ,0
3420965229,8856 ,1182 ,210 ,22 ,0
140750163,7883097 ,621 ,12088 ,831 ,0
18462058,828 ,1477 ,28 ,5109 ,0
722586421622611968,4 ,209 ,0 ,374 ,0
14982804,2671632 ,13803 ,5536 ,182818 ,0
786309892990574592,1041658 ,1710 ,4657 ,86 ,0
19739126,951081 ,1397 ,5099 ,1895 ,0
1066820433721331714,14 ,814 ,0 ,1345 ,0
151123001,17491578 ,720 ,23643 ,94 ,0
40793905,353 ,1002 ,0 ,21009 ,0
885487044243238912,10800083 ,1 ,1221 ,1 ,0
528999980,94170 ,62798 ,18 ,99915 ,0
788752007246905344,12897 ,37 ,9 ,167 ,0
450235955,60109 ,59313 ,7 ,38711 ,0
15254807,1230027 ,397 ,6502 ,93 ,0
913308968809672705,189296 ,2397 ,481 ,5715 ,0
18080969,553308 ,1866 ,4961 ,8298 ,0
1864924758,4307 ,1698 ,185 ,8539 ,0
199854295,3305 ,2571 ,19 ,980 ,0
18228898,13617434 ,1277 ,21664 ,28239 ,0
112764971,15356413 ,85 ,21289 ,341 ,0
1170215895895089153,40847 ,1933 ,5 ,18815 ,0
14957318,457844 ,1473 ,4199 ,119 ,0
15485441,51681749 ,10023 ,63361 ,3082 ,0
3309200134,122813 ,331 ,44 ,5049 ,0
295833852,1786062 ,387 ,649 ,16062 ,0
1270520908592099329,1 ,12 ,0 ,23 ,0
384951307,2975623 ,110 ,5214 ,911 ,0
720293443260456960,500330 ,50 ,1394 ,7935 ,0
173744348,1723516 ,556 ,905 ,53 ,0
90836187,24827336 ,107 ,32938 ,198 ,0
34927577,121964 ,1051 ,2311 ,297 ,0
1154147577014734854,2109 ,3922 ,4 ,3289 ,0
30621351,139463 ,127721 ,1792 ,42 ,0
23937786,17982 ,2854 ,187 ,445 ,0
45662364,80 ,388 ,8 ,5140 ,0
36218435,480453 ,1049 ,2720 ,6141 ,0
1274612817820356608,3 ,60 ,0 ,196 ,0
27000730,621864 ,772 ,4531 ,1184 ,0
16882335,557 ,1595 ,4 ,1 ,0
5509762,642479 ,2753 ,2089 ,1063 ,0
595515713,191106 ,488 ,1945 ,347 ,0
965590040,216 ,431 ,0 ,39 ,0
25101996,1779045 ,2929 ,4929 ,12576 ,0
16174854,10886 ,1181 ,395 ,26407 ,0
1293914509476679681,1 ,5 ,0 ,0 ,0
842071545296084992,30380 ,246 ,227 ,1650 ,0
3431530511,200696 ,1 ,390 ,16 ,0
96948912,1758588 ,174 ,1095 ,1480 ,0
145711798,646773 ,2448 ,191 ,1545 ,0
456095936,4894 ,505 ,80 ,929 ,0
51990743,1763 ,4962 ,12 ,417 ,0
28614550,51043 ,16429 ,834 ,7590 ,0
900528228745478145,80763 ,65 ,18 ,3122 ,0
20567939,10258100 ,1492 ,7083 ,1289 ,0
1209738691096301568,172 ,595 ,0 ,22 ,0
11348282,39975735 ,222 ,92675 ,11758 ,0
1284223303868198914,17 ,209 ,0 ,177 ,0
851526166100029442,67068 ,259 ,265 ,575 ,0
2541363451,5369592 ,131 ,1484 ,949 ,0
779898205,2436414 ,1505 ,1627 ,157714 ,0
145535271,410664 ,61 ,356 ,230 ,0
857250949110300676,16192 ,116 ,13 ,301 ,0
2617066206,802587 ,329 ,289 ,19268 ,0
79581485,29789 ,29648 ,793 ,198 ,0
28785486,15855056 ,508 ,58026 ,32 ,0
34507480,76351421 ,58352 ,53663 ,44164 ,0
14980820,317157 ,1637 ,3859 ,6716 ,0
2467791,16244999 ,1657 ,94773 ,4433 ,0
18166778,1589944 ,4014 ,5306 ,2070 ,0
16334281,104451 ,1430 ,2021 ,4721 ,0
216065430,836278 ,1731 ,3196 ,6230 ,0
357606935,4580618 ,561 ,15968 ,182 ,0
14364779,358181 ,588 ,2291 ,16609 ,0
259379883,10896179 ,179 ,35095 ,895 ,0
122658025,6412566 ,17 ,941 ,12 ,0
1346439824,18315591 ,418 ,3008 ,565 ,0
14130366,3156848 ,351 ,7095 ,873 ,0
205938621,5400 ,457 ,35 ,461 ,0
35827739,2229 ,3588 ,89 ,983 ,0
3932768472,218150 ,12961 ,883 ,19299 ,0
890891,8984500 ,674 ,16642 ,293 ,0
823638938590085124,103721 ,326 ,638 ,1257 ,0
46973152,1945790 ,632 ,6326 ,32 ,0
276445663,28930 ,3035 ,881 ,10870 ,0
50769180,3657008 ,349 ,13076 ,3545 ,0
1754641,811833 ,446 ,14671 ,764 ,0
36065771,714679 ,93 ,5739 ,1073 ,0
702576038,474 ,340 ,3 ,56 ,0
1140041857,11409 ,188 ,91 ,1321 ,0
63796828,3003096 ,361940 ,8195 ,4 ,0
822215679726100480,31161516 ,39 ,26572 ,104 ,0
1297740366318313472,14 ,182 ,0 ,82 ,0
19583545,15168368 ,369648 ,23904 ,12592 ,0
49698134,1814910 ,6366 ,11169 ,42841 ,0
264316796,298245 ,875 ,113 ,423 ,0
13850422,3676419 ,343 ,17643 ,4 ,0
950165300,9697465 ,179 ,1568 ,491 ,0
16331010,5532888 ,913 ,19979 ,1283 ,0
2326377163,7795 ,8077 ,1 ,20935 ,0
3004231,18817954 ,2648 ,40936 ,2727 ,0
612473,11208277 ,101 ,42820 ,45 ,0
219617448,13044823 ,0 ,5739 ,11 ,0
19956026,316476 ,1384 ,1215 ,33428 ,0
69079291,97 ,145 ,2 ,12158 ,0
744476125695455232,0 ,193 ,0 ,2 ,0
2558684335,982737 ,27 ,380 ,87 ,0
101532373,3796076 ,1140 ,4457 ,17178 ,0
1118981037944500224,110 ,636 ,0 ,37 ,0
14839147,1181035 ,972 ,4563 ,146 ,0
2375182790,508812 ,62 ,135 ,4223 ,0
835833765033291777,583599 ,90 ,575 ,725 ,0
104040220,3834342 ,568 ,1263 ,588 ,0
51241574,14386576 ,6993 ,94716 ,3009 ,0
84457849,93692 ,1 ,761 ,1 ,0
729676086632656900,2118895 ,127 ,4061 ,3478 ,0
322293052,278568 ,2670 ,1332 ,34625 ,0
39364684,13179439 ,4723 ,8797 ,37018 ,0
988573326376427520,2339309 ,50 ,5579 ,10 ,0
2935489123,66306 ,3410 ,574 ,100206 ,0
250037542,118734 ,23 ,66 ,137 ,0
135421739,33559260 ,80 ,22329 ,187 ,0
1092088353439264769,2 ,43 ,0 ,25 ,0
16664681,3663294 ,6964 ,32424 ,2628 ,0
328406897,91982 ,4391 ,2085 ,36560 ,0
72631996,205975 ,150 ,2222 ,426 ,0
145879277,404 ,375 ,33 ,7 ,0
71201743,37379458 ,62 ,7710 ,195 ,0
588200416,642033 ,154 ,1306 ,35 ,0
22938914,626532 ,92 ,9273 ,40 ,0
1216971385777664005,240198 ,36 ,36 ,618 ,0
309052808,11 ,113 ,0 ,56 ,0
26270971,223769 ,3306 ,1004 ,58632 ,0
2838662525,21505 ,3914 ,176 ,8132 ,0
93069110,1423793 ,4515 ,15597 ,63783 ,0
245963716,738550 ,156 ,1521 ,374 ,0
18839785,61446306 ,2352 ,25210 ,0 ,0
44196397,38215373 ,97 ,55335 ,6493 ,0
1153045459,7129998 ,2418 ,2037 ,1295 ,0
1297256029973954560,87 ,254 ,0 ,12 ,0
93070840,11133 ,849 ,572 ,37033 ,0
1289004691079274496,3 ,183 ,0 ,176 ,0
1115965900199534594,229 ,1380 ,0 ,10 ,0
25676606,485705 ,135 ,3720 ,469 ,0
14673907,1092 ,347 ,19 ,98 ,0
1285129147581214722,265 ,4816 ,0 ,203 ,0
1072996442,69 ,337 ,1 ,4216 ,0
19230601,5508829 ,518 ,11122 ,796 ,0
23603092,1587720 ,313528 ,5678 ,14847 ,0
236597458,368 ,353 ,0 ,1202 ,0
37011822,2958 ,1358 ,87 ,84 ,0
471352249,9659 ,5484 ,62 ,104 ,0
358226078,581 ,3388 ,13 ,632 ,0
1251920160342056962,4 ,317 ,0 ,16 ,0
33792634,836369 ,2853 ,7803 ,14913 ,0
1296445798650126341,1 ,93 ,0 ,41 ,0
1042463396128583681,21151 ,32 ,23 ,45 ,0
970207298,6134508 ,492 ,17505 ,13 ,0
1297012590875312129,15 ,254 ,0 ,78 ,0
1297887174176788481,4 ,54 ,0 ,1 ,0
5392522,8343623 ,69704 ,66393 ,2534 ,0
47786101,15203038 ,64 ,17490 ,1276 ,0
1295688941056786432,47 ,384 ,0 ,29 ,0
1297354304798375936,3 ,44 ,0 ,1 ,0
26487169,2204318 ,2087 ,5446 ,16844 ,0
240802366,86188 ,67454 ,367 ,10837 ,0
50826280,7994416 ,741 ,19030 ,888 ,0
826924399383150592,30186 ,30320 ,12 ,1130 ,0
2584178156,5873 ,96 ,46 ,148 ,0
7744592,4251459 ,7988 ,18329 ,10292 ,0
42389136,648154 ,256 ,5316 ,1590 ,0
1187679030582972417,7 ,77 ,0 ,40 ,0
3045608319,412557 ,218 ,86 ,2392 ,0
742143,28803429 ,71 ,117626 ,13 ,0
818876014390603776,14898924 ,8 ,9392 ,0 ,0
1194614117543243777,16151 ,90 ,3 ,6108 ,0
108568373,7929769 ,72 ,14950 ,392 ,0
37637826,9663 ,1234 ,105 ,4005 ,0
825573340253450244,1826 ,3912 ,0 ,5411 ,0
2326857668,1250538 ,1051 ,2780 ,4958 ,0
247723476,568208 ,0 ,6128 ,0 ,0
1158691610776887296,4 ,37 ,0 ,10 ,0
1373054690,0 ,84 ,0 ,2 ,0
877807935493033984,1235272 ,344 ,7141 ,3143 ,0
1283358278076882944,0 ,212 ,0 ,0 ,0
955912704002351104,407 ,1391 ,4 ,1426 ,0
23783692,491929 ,1632 ,4237 ,6001 ,0
172414996,151140 ,2038 ,819 ,2926 ,0
1279617214459469824,4 ,31 ,0 ,2 ,0
125441553,395 ,0 ,7 ,21 ,0
15811181,245413 ,6160 ,3402 ,10929 ,0
325830217,2508430 ,132 ,7720 ,11 ,0
158487331,48717619 ,737 ,46046 ,1050 ,0
57987347,13 ,134 ,0 ,64 ,0
1330457336,12180989 ,35 ,22021 ,1509 ,0
28414319,535 ,2060 ,20 ,1464 ,0
823083,73361 ,3189 ,3316 ,160930 ,0
33041426,1164117 ,625 ,4791 ,43490 ,0
50374439,16703277 ,25 ,44085 ,0 ,0
18948923,63467 ,2416 ,893 ,4520 ,0
166739404,29210785 ,397 ,41387 ,1170 ,0
14573900,8244705 ,52076 ,14320 ,13177 ,0
138372303,7744726 ,553 ,11792 ,1057 ,0
22756947,172391 ,22410 ,3000 ,11150 ,0
1964571728,11366008 ,68 ,5023 ,890 ,0
936367565437157376,3670 ,9 ,27 ,65 ,0
954609672853643264,209 ,1806 ,0 ,7 ,0
38164846,8049872 ,137 ,6262 ,629 ,0
25460615,3860000 ,9689 ,8022 ,2306 ,0
309366491,6918855 ,686 ,7165 ,9496 ,0
39275966,813859 ,166 ,4298 ,174 ,0
1228320788,47518 ,18524 ,3 ,1528 ,0
788524,3360827 ,1250 ,32366 ,12 ,0
2421079436,52015 ,450 ,339 ,2451 ,0
17919972,87031814 ,0 ,113113 ,1028 ,0
1292335003758559234,0 ,19 ,0 ,1 ,0
17471979,24343849 ,147 ,62907 ,6944 ,0
1150409755342573569,1803593 ,13 ,213 ,82 ,0
1900999764,2839 ,410 ,37 ,1914 ,0
1618884925,237 ,226 ,0 ,58562 ,0
310111388,240 ,5002 ,1 ,21840 ,0
863808288789590017,174 ,893 ,0 ,25 ,0
68034431,16593800 ,96 ,11398 ,1 ,0
1884529722,79429 ,47864 ,2008 ,621 ,0
1255195409623904256,87 ,1497 ,4 ,1 ,0
1275874445601595392,1 ,49 ,0 ,0 ,0
1314883734,18134 ,260 ,101 ,232 ,0
2363965196,16 ,11 ,0 ,1 ,0
1257958717322072064,840 ,1615 ,0 ,70 ,0
138203134,8425236 ,2706 ,18025 ,26417 ,0
76658323,227 ,43 ,0 ,2 ,0
278146795,20936 ,170 ,389 ,5509 ,0
87719807,8132 ,412 ,14 ,201 ,0
3855911,7722 ,7980 ,409 ,1580 ,0
807220518,1202 ,637 ,250 ,940 ,0
7587032,6314718 ,27 ,25456 ,12 ,0
428333,58517473 ,119 ,182736 ,27 ,0
69755180,368863 ,146420 ,1814 ,670 ,0
6708952,736149 ,5889 ,9971 ,1 ,0
814386998140174336,1160 ,2247 ,13 ,48 ,0
1133445477536542720,12 ,119 ,0 ,2274 ,0
1603882129,17448 ,1356 ,483 ,6111 ,0
111141045,27219 ,1908 ,659 ,5621 ,0
3298340918,15011 ,175 ,58 ,286 ,0
28422142,535756 ,836 ,5039 ,93 ,0
24828946,33 ,115 ,1 ,8 ,0
17230018,3684303 ,17771 ,15955 ,10030 ,0
595689564,33978 ,42 ,260 ,173 ,0
14740219,1874282 ,3297 ,10202 ,26926 ,0
25330246,138703 ,453 ,1855 ,84 ,0
316033903,4887 ,1670 ,22 ,0 ,0
20015311,14476502 ,1456 ,27959 ,188018 ,0
325652151,13806 ,216 ,364 ,341 ,0
169940719,1248 ,1898 ,129 ,1006 ,0
1199104189374316544,139 ,5002 ,0 ,1405 ,0
15241557,69523 ,134 ,1016 ,96 ,0
2793952751,1675043 ,2 ,662 ,1 ,0
44282068,3635 ,4758 ,98 ,239 ,0
1242819338886877184,16 ,23 ,0 ,58 ,0
49305802,393 ,697 ,67 ,69 ,0
2244994945,510565 ,2024 ,1609 ,2166 ,0
2161606332,14720 ,13 ,221 ,43 ,0
41931916,736355 ,12 ,1592 ,7 ,0
980573135220113408,2 ,21 ,0 ,222 ,0
15670515,6293623 ,1714 ,19130 ,1573 ,0
28406270,3118233 ,3210 ,8374 ,20595 ,0
3065618342,2260126 ,1054 ,2334 ,32192 ,0
148343494,2902 ,1533 ,42 ,1022 ,0
730752382691364864,1937 ,3192 ,898 ,714 ,0
142157505,1878931 ,178 ,9773 ,1 ,0
1406619086,1344838 ,1086276 ,621 ,267322 ,0
790201548739534853,32 ,547 ,0 ,59 ,0
185142711,12277648 ,75 ,2918 ,30 ,0
1268871758347558912,0 ,6 ,0 ,0 ,0
15506669,1647359 ,1 ,7124 ,1 ,0
768088519088668672,43 ,114 ,0 ,945 ,0
12,4773376 ,4513 ,27768 ,29637 ,0
460703687,21561 ,111 ,35 ,5556 ,0
49954421,589 ,1565 ,92 ,74 ,0
2714290906,5 ,30 ,0 ,163 ,0
14412533,660410 ,3689 ,9261 ,224 ,0
1527698995,44015 ,40811 ,404 ,4 ,0
10441,19446 ,14101 ,1796 ,4623 ,0
54040314,1109 ,4849 ,98 ,1541 ,0
5768872,2190640 ,12218 ,30479 ,81131 ,0
218078497,2512185 ,30 ,2336 ,0 ,0
2217998766,81 ,664 ,11 ,3086 ,0
1026111586652631041,25 ,110 ,0 ,10 ,0
4578679955,12114 ,10817 ,7 ,21018 ,0
2558843462,6973 ,7482 ,163 ,6155 ,0
51263592,7874527 ,3221 ,48887 ,593 ,0
19084896,1180698 ,6148 ,8350 ,93785 ,0
31348594,38441235 ,26 ,14730 ,2011 ,0
346878074,966193 ,513 ,1281 ,2655 ,0
1248672392639119360,5 ,30 ,0 ,480 ,0
2896946410,16 ,98 ,0 ,383 ,0
627673190,30042227 ,535 ,20451 ,2506 ,0
933737516,103187 ,492 ,554 ,9376 ,0
2577476334,45168 ,1223 ,504 ,11716 ,0
29873662,4150796 ,377 ,10543 ,26032 ,0
15808765,4587353 ,90817 ,18750 ,416 ,0
1247630011043061764,156 ,44 ,0 ,25 ,0
29734071,51037 ,368 ,2511 ,18 ,0
29840295,6431805 ,293 ,23192 ,490 ,0
185397039,119 ,524 ,4 ,352 ,0
21001534,264846 ,778 ,4112 ,25356 ,0
702207062,126 ,221 ,6 ,78 ,0
572373159,7319 ,678 ,29 ,681 ,0
62614267,17909 ,40 ,62 ,1252 ,0
13298072,6079493 ,74 ,14856 ,3191 ,0
1549457101,24206 ,742 ,17 ,1400 ,0
70363441,643243 ,974 ,614 ,1117 ,0
12447792,67947 ,2745 ,1536 ,3743 ,0
923088309445906433,317 ,1005 ,0 ,803 ,0
550202880,6012438 ,104 ,4502 ,163 ,0
20498872,186 ,995 ,8 ,695 ,0
1297608510599987210,1 ,92 ,0 ,3 ,0
17475575,926175 ,85 ,6092 ,27337 ,0
556130277,1814588 ,16 ,743 ,373 ,0
1261273216686813184,7 ,47 ,0 ,19 ,0
301309392,2434531 ,859 ,2570 ,35 ,0
1278399152590737409,355 ,53 ,4 ,140 ,0
2270465620,19 ,198 ,1 ,955 ,0
5988062,24951178 ,129 ,112805 ,149 ,0
21925400,1215 ,1080 ,27 ,199 ,0
219248343,3502900 ,4 ,2242 ,0 ,0
214620546,59885 ,213 ,1060 ,12 ,0
1636590253,12059386 ,69 ,21348 ,1957 ,0
155878576,5145 ,1056 ,224 ,227 ,0
820744644497641473,19901 ,19623 ,69 ,3245 ,0
447062632,37 ,1177 ,0 ,124 ,0
17602896,4510184 ,1180 ,20129 ,6347 ,0
279400382,411 ,1015 ,2 ,0 ,0
792119786,18463 ,18120 ,190 ,419407 ,0
234051381,42138 ,961 ,703 ,574 ,0
40519997,3319930 ,7228 ,24252 ,199 ,0
3315713812,507 ,647 ,44 ,5 ,0
283080153,536713 ,888 ,402 ,260 ,0
500704345,18761978 ,8 ,24197 ,0 ,0
36686040,1456409 ,691 ,6611 ,1322 ,0
198975780,4073985 ,140 ,5975 ,5622 ,0
1036526562,135 ,1540 ,2 ,3288 ,0
2835606110,768 ,67 ,8 ,1 ,0
1087750770148159490,3494 ,2234 ,15 ,163 ,0
2879463024,106 ,1087 ,5 ,5480 ,0
114830976,113 ,955 ,0 ,1429 ,0
1489703012,663928 ,693457 ,1355 ,6560 ,0
2893511188,16406072 ,945 ,10018 ,20688 ,0
17220817,1707175 ,678 ,5325 ,24915 ,0
29501253,2447049 ,777 ,9576 ,154 ,0
564000560,1247493 ,643637 ,4237 ,12477 ,0
196494476,182581 ,843 ,488 ,18643 ,0
815443022011834368,126 ,968 ,0 ,10792 ,0
1246391614546853900,45 ,112 ,0 ,18 ,0
816653,10115642 ,959 ,108207 ,5780 ,0
130371704,422 ,1994 ,3 ,1895 ,0
630788634,817 ,4342 ,16 ,2477 ,0
4798685026,1003 ,2779 ,10 ,26837 ,0
15754281,4126024 ,790 ,33723 ,2331 ,0
102141753,8086 ,89 ,111 ,8 ,0
855081857284792320,30 ,338 ,0 ,121 ,0
147441627,670 ,365 ,20 ,867 ,0
2838456199,43 ,160 ,2 ,208 ,0
1221972865,43376 ,40699 ,6 ,30278 ,0
56569906,547 ,2141 ,9 ,91506 ,0
965474152453943296,554 ,1547 ,0 ,11 ,0
18785482,60 ,101 ,0 ,376 ,0
74319127,197 ,483 ,8 ,11763 ,0
1106579662136901633,12 ,263 ,0 ,500 ,0
2875477562,8615 ,305 ,75 ,1385 ,0
295674527,3148562 ,4 ,960 ,31 ,0
512613427,5500158 ,69 ,5676 ,4208 ,0
18200480,568 ,560 ,33 ,32 ,0
14222536,5738877 ,806 ,9013 ,359554 ,0
14392222,1160 ,1155 ,117 ,10885 ,0
248917209,751576 ,691 ,4178 ,259 ,0
25613925,96799 ,1930 ,670 ,39523 ,0
1119512469850877957,9 ,109 ,2 ,11 ,0
329247331,175 ,166 ,1 ,5618 ,0
16072058,56153 ,1989 ,2049 ,2488 ,0
3388886177,5064 ,39 ,706 ,66 ,0
383725805,95 ,2544 ,1 ,1564 ,0
1060820024632332290,8 ,239 ,0 ,276 ,0
1087423635772657664,21 ,575 ,0 ,33 ,0
800054127682342912,5428 ,7028 ,32 ,483 ,0
350118701,602141 ,290 ,1574 ,260 ,0
15327565,87134 ,10035 ,649 ,117 ,0
884808295181160449,1272 ,1777 ,0 ,534 ,0
180505807,35184249 ,165 ,31605 ,627 ,0
986334204698025984,169 ,858 ,0 ,25 ,0
85741735,323214 ,70 ,1002 ,31594 ,0
1224641811072765952,0 ,27 ,0 ,7 ,0
35206553,1151418 ,4155 ,8699 ,143398 ,0
19795597,45147 ,33 ,1283 ,0 ,0
11856892,639126 ,420 ,6938 ,1958 ,0
983804207827472385,988 ,2469 ,0 ,3000 ,0
2425151,13368883 ,724 ,42566 ,1375 ,0
231726733,689 ,694 ,54 ,897 ,0
818503099,27463 ,27 ,229 ,3059 ,0
517077573,12636702 ,338 ,4634 ,2377 ,0
1192805011954159616,25983 ,65 ,130 ,1392 ,0
2097571,11114193 ,369 ,41086 ,135 ,0
18148907,217731 ,695 ,3508 ,260 ,0
53925101,519146 ,2805 ,18929 ,38539 ,0
4898091,6676332 ,844 ,41532 ,71 ,0
20793816,3361014 ,50 ,14990 ,7105 ,0
54951973,6057143 ,323 ,17401 ,259 ,0
2217416046,567 ,4565 ,0 ,5034 ,0
818902172347678720,145544 ,844 ,574 ,2056 ,0
