Id,Label,timeset,name,follower count,friends count,indegree,outdegree,Degree,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,clustering
1115977467951501313,0,,Camilla Faccini,4,63,0,7,7,0.000359,1,1,1,0,0,7,7,0
1945909922,0,,Caroline Ross,152,292,1,2,3,0.000458,1,1,1,0.000017,1,2,3,0
50115087,0,,Johnson Space Center,1251765,151,1,0,1,0.000467,0,0,0,0,1,0,1,0
127117223,0,,Jesus,401527,274,1,0,1,0.000395,0,0,0,0,1,0,1,0
3995778614,0,,Kambree,353568,1996,2,1,3,0.000836,3,0.4,0.430556,0.000027,2,1,3,0
1960613304,0,,Gary Medel,1717661,104,1,0,1,0.000399,0,0,0,0,1,0,1,0
1295157751841280001,1,,Pretty Pony,0,13,0,6,6,0.000359,5,0.332203,0.377381,0,0,6,6,0.033333
1287626469712121856,0,,Mahendra Vaghela,1,613,0,2,2,0.000359,1,1,1,0,0,2,2,0
306642753,0,,Banglanews24.com,594565,1936,1,1,2,0.000405,1,1,1,0,1,1,2,0
3138637447,0,,Allu Arjun,5052434,1,2,0,2,0.000844,0,0,0,0,2,0,2,0
870825202678157312,0,,Tuê :globe_with_meridians:,626495,97,1,3,4,0.000395,1,1,1,0.000001,1,3,4,0
56774483,0,,SkrillaDaKillaDingo,127,264,1,1,2,0.000395,1,1,1,0,1,1,2,0
18560271,0,,Josh Kaplan,580,708,1,0,1,0.000458,0,0,0,0,1,0,1,0
428377986,0,,OFFSET,3078442,394,5,0,5,0.001054,0,0,0,0,5,0,5,0.1
205392468,0,,Face The Nation,496310,1396,1,2,3,0.000598,1,1,1,0.000027,1,2,3,0
24578794,0,,Anthony Scaramucci,891029,1836,1,0,1,0.000514,0,0,0,0,1,0,1,0
39349894,0,,Eric Trump,3971621,972,5,1,6,0.001379,1,1,1,0.000014,5,1,6,0
48223726,0,,Trump Chicago,122966,3465,3,10,13,0.001095,3,0.62069,0.75,0.000143,3,10,13,0.00641
12550682,1,,Katja Presnal,40461,26213,1,0,1,0.000458,0,0,0,0,1,0,1,0
807095,0,,The New York Times,47191495,905,8,0,8,0.00197,0,0,0,0,8,0,8,0
270109981,1,,Michaela (Ma-Ky-La),188,187,1,0,1,0.000715,0,0,0,0,1,0,1,0
1196816405779361793,0,,WEEDZAO,44040,2,1,1,2,0.000395,1,1,1,0,1,1,2,0.5
2510356369,0,,Bangla Tribune,61820,1066,1,0,1,0.000405,0,0,0,0,1,0,1,0
1297890577040773121,0,,2NYCE,2,172,0,8,8,0.000359,2,0.653846,0.735294,0,0,8,8,0.035714
531615634,1,,Boyacá Sie7e Días,106428,5735,1,0,1,0.000405,0,0,0,0,1,0,1,0
26565946,0,,Justin Timberlake,64311272,305,4,0,4,0.001673,0,0,0,0,4,0,4,0
19725644,0,,Neil deGrasse Tyson,14199792,39,5,0,5,0.001697,0,0,0,0,5,0,5,0
497052651,1,,Charles Echols,96,357,0,4,4,0.000359,2,0.833333,0.9,0,0,4,4,0
14499829,0,,World Health Organization (WHO),8234492,1724,3,0,3,0.001543,0,0,0,0,3,0,3,0
1063519736607268872,0,,Paidafac (Felipe Bandeira),33787,71,1,1,2,0.000395,1,1,1,0,1,1,2,0
523248016,1,,John Solomon,713860,364,2,0,2,0.000548,0,0,0,0,2,0,2,0
45828171,0,,John T. Bennett,8635,1067,1,0,1,0.000628,0,0,0,0,1,0,1,0
22841103,0,,Insomniac Games,815884,27023,2,0,2,0.000507,0,0,0,0,2,0,2,0
25127156,1,,Global Leadership Network,67356,4876,1,0,1,0.000477,0,0,0,0,1,0,1,0
18139497,1,,Right Mothering,266,225,1,2,3,0.000674,5,0.261905,0.321212,0.000011,1,2,3,0
15515169,0,,toddstarnes,139479,14507,1,0,1,0.000674,0,0,0,0,1,0,1,0
21447363,0,,KATY PERRY,108439591,221,6,0,6,0.001302,0,0,0,0,6,0,6,0
34430522,0,,Blake Griffin,4479690,575,1,3,4,0.000399,1,1,1,0.000001,1,3,4,0
273452117,0,,Rene Higuita,707380,595,1,0,1,0.000405,0,0,0,0,1,0,1,0
1108472017144201216,0,,Trump War Room - Text TRUMP to 88022,780157,262,1,1,2,0.000598,1,1,1,0.000008,1,1,2,0
216935219,1,,jimmy lee dickerson,13,64,0,1,1,0.000359,1,1,1,0,0,1,1,0
471741741,0,,PMO India,38225267,486,3,0,3,0.000628,0,0,0,0,3,0,3,0
50393960,0,,Bill Gates,51620281,234,8,0,8,0.001953,0,0,0,0,8,0,8,0
1094649075021107200,1,,মাইশা আক্তার:revolving_hearts:,39399,1736,2,0,2,0.000728,0,0,0,0,2,0,2,0
818928162449068032,0,,The Cabinet,172282,50,2,3,5,0.000949,1,1,1,0.00004,2,3,5,0.1
422201803,0,,Claudio Bravo Muñoz,2071406,1164,2,0,2,0.000723,0,0,0,0,2,0,2,0
29458079,0,,Jeanine Pirro,2214815,481,7,8,15,0.001373,2,0.75,0.833333,0.000134,7,8,15,0.004762
272395158,0,,FOX&friends Weekend,154649,115,1,0,1,0.000514,0,0,0,0,1,0,1,0
1268970789883314180,1,,DianeValentin9,0,89,0,3,3,0.000359,2,0.714286,0.8,0,0,3,3,0
38495835,0,,Mark R. Levin,2412979,6,5,1,6,0.000975,1,1,1,0.000014,5,1,6,0
39344374,0,,Donald Trump Jr.,5490926,1473,5,2,7,0.001222,1,1,1,0.000015,5,2,7,0
18180495,1,,San Pedro Today,2927,363,1,0,1,0.000511,0,0,0,0,1,0,1,0
3420965229,0,,Greg Gianforte,8856,1182,2,0,2,0.001106,0,0,0,0,2,0,2,0
140750163,0,,Juan Mata García,7883097,621,1,0,1,0.000539,0,0,0,0,1,0,1,0
18462058,1,,Tony Lossano,828,1477,1,0,1,0.000458,0,0,0,0,1,0,1,0
722586421622611968,1,,Helenea Dolce,4,209,0,2,2,0.000359,3,0.466667,0.52381,0,0,2,2,0
14982804,0,,Ava DuVernay,2671632,13803,1,0,1,0.000609,0,0,0,0,1,0,1,0
786309892990574592,0,,Steve Schmidt,1041658,1710,1,0,1,0.00049,0,0,0,0,1,0,1,0
19739126,0,,Kevin McCarthy,951081,1397,3,0,3,0.000709,0,0,0,0,3,0,3,0
151123001,0,,Sergio Ramos,17491578,720,3,1,4,0.000543,1,1,1,0.000001,3,1,4,0
40793905,1,,Tania Penn,353,1002,0,1,1,0.000359,5,0.304348,0.321259,0,0,1,1,0
885487044243238912,0,,President of India,10800083,1,3,0,3,0.000801,0,0,0,0,3,0,3,0
788752007246905344,0,,CP KARIMNAGAR,12897,37,0,1,1,0.000359,1,1,1,0,0,1,1,0
15254807,0,,Internazionale,1230027,397,1,0,1,0.000405,0,0,0,0,1,0,1,0
913308968809672705,1,,Anna Paulina Luna,189296,2397,1,0,1,0.00044,0,0,0,0,1,0,1,0
199854295,0,,Dyonna,3305,2571,1,1,2,0.000395,1,1,1,0,1,1,2,0
18228898,0,,John Legend,13617434,1277,2,0,2,0.000983,0,0,0,0,2,0,2,0
112764971,0,,FC Barcelona,15356413,85,1,1,2,0.000405,1,1,1,0,1,1,2,0
1170215895895089153,0,,মারিয়া জাহান,40847,1933,1,0,1,0.000405,0,0,0,0,1,0,1,0
14957318,0,,NBC Chicago,457844,1473,2,1,3,0.000708,1,1,1,0.000011,2,1,3,0
15485441,0,,jimmy fallon,51681749,10023,8,0,8,0.002106,0,0,0,0,8,0,8,0
3309200134,0,,Swati Lakra,122813,331,0,1,1,0.000359,1,1,1,0,0,1,1,0
295833852,0,,Manohar Lal,1786062,387,1,0,1,0.000521,0,0,0,0,1,0,1,0
1270520908592099329,0,,Hemanta Khataniar,1,12,0,6,6,0.000359,5,0.32381,0.366667,0,0,6,6,0.033333
384951307,0,,Match of the Day,2975623,110,2,2,4,0.000726,2,0.75,0.833333,0.000001,2,2,4,0.166667
720293443260456960,0,,The Trump Organization,500330,50,2,3,5,0.000673,2,0.666667,0.75,0.000049,2,3,5,0
173744348,0,,EZEGE 1,1723516,556,1,0,1,0.00044,0,0,0,0,1,0,1,0
90836187,0,,Andrés Iniesta,24827336,107,2,0,2,0.000904,0,0,0,0,2,0,2,0
34927577,0,,CNSNews,121964,1051,1,2,3,0.000674,1,1,1,0.000024,1,2,3,0
30621351,0,,Philip Arnold,139463,127721,1,0,1,0.000477,0,0,0,0,1,0,1,0
23937786,1,,Top 100 Golf Courses,17982,2854,1,1,2,0.000511,1,1,1,0.00001,1,1,2,0
45662364,0,,Drew Parsons,80,388,0,3,3,0.000359,3,0.419355,0.474359,0,0,3,3,0
36218435,0,,Los Angeles Magazine,480453,1049,3,3,6,0.000996,1,1,1,0.000035,3,3,6,0
1274612817820356608,1,,Ivonne,3,60,0,1,1,0.000359,2,0.6,0.666667,0,0,1,1,0
27000730,0,,Tim Pool,621864,772,1,0,1,0.000467,0,0,0,0,1,0,1,0
16882335,1,,Robert_Stark,557,1595,1,0,1,0.000674,0,0,0,0,1,0,1,0
5509762,0,,Sarah Huckabee Sanders,642479,2753,1,0,1,0.000598,0,0,0,0,1,0,1,0
595515713,0,,Valerie Jarrett,191106,488,1,2,3,0.000556,2,0.75,0.833333,0.000014,1,2,3,0
965590040,0,,Kik: GetLiftedWitMe,216,431,1,0,1,0.000395,0,0,0,0,1,0,1,0
25101996,0,,Kimberly Guilfoyle,1779045,2929,5,8,13,0.00175,3,0.684211,0.794872,0.000121,5,8,13,0
16174854,1,,James R. Dickey,10886,1181,1,0,1,0.000662,0,0,0,0,1,0,1,0
1293914509476679681,0,,Steve,1,5,0,2,2,0.000359,5,0.306502,0.328114,0,0,2,2,0
842071545296084992,0,,Katie Miller,30380,246,1,2,3,0.000598,1,1,1,0.000027,1,2,3,0
3431530511,0,,Curtis Jones,200696,1,1,1,2,0.000399,1,1,1,0,1,1,2,0
96948912,0,,Marco Mengoni,1758588,174,1,0,1,0.000405,0,0,0,0,1,0,1,0
145711798,0,,𝙴𝚛𝚒𝚐𝚐𝚊,646773,2448,2,0,2,0.000453,0,0,0,0,2,0,2,0
456095936,0,,USC Men’s Golf,4894,505,1,0,1,0.000511,0,0,0,0,1,0,1,0
51990743,1,,Freedom.,1763,4962,1,1,2,0.000674,3,0.4,0.430556,0.000024,1,1,2,0
28614550,0,,Real Warriors,51043,16429,2,0,2,0.001251,0,0,0,0,2,0,2,0
900528228745478145,0,,Support Felipe Neto ⓢ :Brazil::black_flag:,80763,65,1,0,1,0.000395,0,0,0,0,1,0,1,0
20567939,0,,Meek Mill,10258100,1492,5,0,5,0.001393,0,0,0,0,5,0,5,0
11348282,0,,NASA,39975735,222,12,0,12,0.001763,0,0,0,0,12,0,12,0
1284223303868198914,1,,Felix Santi,17,209,0,1,1,0.000359,5,0.304348,0.321259,0,0,1,1,0
2541363451,0,,"गृहमंत्री कार्यालय, HMO India",5369592,131,1,0,1,0.000521,0,0,0,0,1,0,1,0
779898205,0,,BLACK LIVES MATTER,2436414,1505,2,0,2,0.000472,0,0,0,0,2,0,2,0
145535271,0,,TV9 Telugu,410664,61,0,2,2,0.000359,1,1,1,0,0,2,2,0
857250949110300676,0,,Chamakura Malla Reddy,16192,116,0,2,2,0.000359,2,0.75,0.833333,0,0,2,2,0
2617066206,0,,Dr. Ramesh Pokhriyal Nishank,802587,329,2,0,2,0.001013,0,0,0,0,2,0,2,0
28785486,0,,ABC News,15855056,508,1,0,1,0.00044,0,0,0,0,1,0,1,0
34507480,0,,Ariana Grande,76351421,58352,9,0,9,0.001235,0,0,0,0,9,0,9,0
14980820,0,,NBCWashington,317157,1637,1,1,2,0.000413,1,1,1,0,1,1,2,0
2467791,0,,The Washington Post,16244999,1657,5,0,5,0.001073,0,0,0,0,5,0,5,0
18166778,0,,Rep. Jim Jordan,1589944,4014,6,6,12,0.002099,4,0.34375,0.441919,0.000142,6,6,12,0.009091
16334281,0,,CBS4 Miami,104451,1430,1,0,1,0.000628,0,0,0,0,1,0,1,0
216065430,0,,Stacey Abrams,836278,1731,5,0,5,0.001248,0,0,0,0,5,0,5,0
357606935,0,,Elizabeth Warren,4580618,561,11,0,11,0.002881,0,0,0,0,11,0,11,0
14364779,0,,Callaway Golf,358181,588,2,0,2,0.00091,0,0,0,0,2,0,2,0
259379883,0,,Charlie Sheen,10896179,179,3,0,3,0.000633,0,0,0,0,3,0,3,0
122658025,0,,Rajat Sharma,6412566,17,1,0,1,0.000521,0,0,0,0,1,0,1,0
1346439824,0,,Rajnath Singh,18315591,418,2,1,3,0.000548,1,1,1,0.000001,2,1,3,0
14130366,0,,Sundar Pichai,3156848,351,1,0,1,0.000682,0,0,0,0,1,0,1,0
205938621,0,,Trump Colts Neck,5400,457,1,1,2,0.000561,1,1,1,0.000011,1,1,2,0
35827739,1,,Chicago20Something,2229,3588,1,0,1,0.000458,0,0,0,0,1,0,1,0
3932768472,0,,Emerald Robinson :latin_cross:,218150,12961,1,0,1,0.000556,0,0,0,0,1,0,1,0
890891,0,,Bleacher Report,8984500,674,4,0,4,0.001047,0,0,0,0,4,0,4,0
823638938590085124,0,,Stephanie Grisham,103721,326,1,0,1,0.000711,0,0,0,0,1,0,1,0
46973152,0,,NeNe Leakes,1945790,632,1,0,1,0.001505,0,0,0,0,1,0,1,0
276445663,0,,Vivian Salama,28930,3035,1,0,1,0.000628,0,0,0,0,1,0,1,0
50769180,0,,Laura Ingraham,3657008,349,3,0,3,0.000574,0,0,0,0,3,0,3,0
1754641,1,,NYT Business,811833,446,3,1,4,0.000742,1,1,1,0.000012,3,1,4,0
36065771,0,,Condé Nast Traveller,714679,93,1,0,1,0.000477,0,0,0,0,1,0,1,0
1140041857,1,,"Trump International, Scotland",11409,188,0,1,1,0.000359,5,0.315315,0.352857,0,0,1,1,0
63796828,0,,Twitter Verified,3003096,361940,3,0,3,0.001265,0,0,0,0,3,0,3,0
822215679726100480,0,,President Trump,31161516,39,9,0,9,0.001753,0,0,0,0,9,0,9,0.013889
1297740366318313472,0,,QuakuPromise,14,182,0,4,4,0.000359,1,1,1,0,0,4,4,0
19583545,0,,Liverpool FC,15168368,369648,3,0,3,0.000943,0,0,0,0,3,0,3,0
49698134,0,,Joy Reid,1814910,6366,2,0,2,0.001354,0,0,0,0,2,0,2,0
13850422,0,,CNN Politics,3676419,343,3,0,3,0.001304,0,0,0,0,3,0,3,0
16331010,0,,TMZ,5532888,913,3,1,4,0.001274,1,1,1,0.000013,3,1,4,0
3004231,0,,Snoop Dogg,18817954,2648,5,0,5,0.002113,0,0,0,0,5,0,5,0
612473,0,,BBC News (UK),11208277,101,4,0,4,0.001275,0,0,0,0,4,0,4,0
19956026,0,,Elvis Duran,316476,1384,1,1,2,0.000514,1,1,1,0.000011,1,1,2,0
69079291,1,,On Pap Time,97,145,0,1,1,0.000359,1,1,1,0,0,1,1,0
2558684335,0,,Telangana CMO,982737,27,0,2,2,0.000359,1,1,1,0,0,2,2,0
101532373,0,,Lorenzo Jovanotti,3796076,1140,1,0,1,0.000405,0,0,0,0,1,0,1,0
1118981037944500224,1,,tusharkhan45645 #Digital Marketer,110,636,0,1,1,0.000359,1,1,1,0,0,1,1,0
14839147,0,,:United_States: ERIC BOLLING :United_States:,1181035,972,2,0,2,0.000601,0,0,0,0,2,0,2,0
2375182790,0,,TRS Party,508812,62,0,1,1,0.000359,1,1,1,0,0,1,1,0
835833765033291777,0,,Mason Greenwood,583599,90,1,2,3,0.000399,1,1,1,0.000001,1,2,3,0
104040220,0,,HOT GIRL MEG,3834342,568,2,0,2,0.00048,0,0,0,0,2,0,2,0
51241574,0,,The Associated Press,14386576,6993,9,0,9,0.001665,0,0,0,0,9,0,9,0
84457849,1,,Drudge Buzz,93692,1,0,1,1,0.000359,1,1,1,0,0,1,1,0
729676086632656900,0,,Team Trump (Text TRUMP to 88022),2118895,127,2,0,2,0.000759,0,0,0,0,2,0,2,0
322293052,0,,Roma Downey,278568,2670,2,7,9,0.000916,2,0.769231,0.85,0.000096,2,7,9,0.013889
39364684,0,,chrissy teigen,13179439,4723,7,0,7,0.001974,0,0,0,0,7,0,7,0
988573326376427520,0,,Secretary Pompeo,2339309,50,2,0,2,0.000709,0,0,0,0,2,0,2,0
2935489123,0,,Peter J. Hasson,66306,3410,1,0,1,0.000556,0,0,0,0,1,0,1,0
250037542,1,,Faith,118734,23,1,0,1,0.000521,0,0,0,0,1,0,1,0
135421739,0,,Sachin Tendulkar,33559260,80,4,0,4,0.000935,0,0,0,0,4,0,4,0
1092088353439264769,0,,Ludmila,2,43,0,9,9,0.000359,2,0.764706,0.846154,0,0,9,9,0.013889
16664681,0,,Los Angeles Times,3663294,6964,3,0,3,0.001155,0,0,0,0,3,0,3,0
72631996,0,,IRS #COVIDreliefIRS,205975,150,2,0,2,0.001008,0,0,0,0,2,0,2,0
145879277,1,,He Sips / She Sips,404,375,1,0,1,0.000458,0,0,0,0,1,0,1,0
71201743,0,,Virat Kohli,37379458,62,1,0,1,0.000424,0,0,0,0,1,0,1,0
588200416,0,,Maria Elena Boschi,642033,154,1,0,1,0.000405,0,0,0,0,1,0,1,0
22938914,0,,Steve Wozniak,626532,92,1,0,1,0.0016,0,0,0,0,1,0,1,0
1216971385777664005,0,,Cerol,240198,36,2,0,2,0.00075,0,0,0,0,2,0,2,0.5
309052808,1,,Sandeep Agrawal,11,113,0,1,1,0.000359,1,1,1,0,0,1,1,0
26270971,0,,Lena Waithe,223769,3306,1,0,1,0.000682,0,0,0,0,1,0,1,0
245963716,0,,Tiffany Ariana Trump,738550,156,3,0,3,0.001153,0,0,0,0,3,0,3,0
18839785,0,,Narendra Modi,61446306,2352,3,0,3,0.000918,0,0,0,0,3,0,3,0
44196397,0,,Elon Musk,38215373,97,15,0,15,0.002091,0,0,0,0,15,0,15,0.009524
1297256029973954560,0,,°•কাঠ-গোলাপ•°,87,254,0,1,1,0.000359,1,1,1,0,0,1,1,0
93070840,1,,Kaylie Newell,11133,849,1,1,2,0.000395,1,1,1,0,1,1,2,0
1289004691079274496,1,,njhb55@icloud.com,3,183,0,2,2,0.000359,5,0.308176,0.330612,0,0,2,2,0
25676606,0,,Adnkronos,485705,135,1,0,1,0.000405,0,0,0,0,1,0,1,0
14673907,1,,EZLinks Golf,1092,347,1,0,1,0.000511,0,0,0,0,1,0,1,0
1072996442,1,,Ashton Jernigan,69,337,0,1,1,0.000359,2,0.666667,0.75,0,0,1,1,0
19230601,0,,Sky Sports,5508829,518,2,0,2,0.001045,0,0,0,0,2,0,2,0
23603092,0,,Entertainment Tonight,1587720,313528,2,0,2,0.000911,0,0,0,0,2,0,2,0
37011822,1,,FRANK PR,2958,1358,1,0,1,0.000477,0,0,0,0,1,0,1,0
471352249,1,,Catholic Ways,9659,5484,1,0,1,0.000477,0,0,0,0,1,0,1,0
1251920160342056962,1,,chad,4,317,0,5,5,0.000359,1,1,1,0,0,5,5,0
33792634,0,,Andrew Ross Sorkin,836369,2853,1,0,1,0.001027,0,0,0,0,1,0,1,0
1296445798650126341,1,,Big Red Wave 2020,1,93,0,1,1,0.000359,1,1,1,0,0,1,1,0
1042463396128583681,0,,Coronel Hernán Mejía,21151,32,1,0,1,0.000405,0,0,0,0,1,0,1,0
970207298,0,,Elizabeth Warren,6134508,492,9,0,9,0.001939,0,0,0,0,9,0,9,0
1297012590875312129,1,,MountainMan2020,15,254,0,3,3,0.000359,1,1,1,0,0,3,3,0
1297887174176788481,0,,William Pacheco,4,54,0,7,7,0.000359,5,0.320122,0.364127,0,0,7,7,0
5392522,0,,NPR,8343623,69704,5,0,5,0.001792,0,0,0,0,5,0,5,0
47786101,0,,Robert Downey Jr,15203038,64,2,0,2,0.000557,0,0,0,0,2,0,2,0
1297354304798375936,1,,tom,3,44,0,4,4,0.000359,5,0.3125,0.344,0,0,4,4,0
26487169,0,,Lou Dobbs,2204318,2087,2,0,2,0.000494,0,0,0,0,2,0,2,0
240802366,0,,Freemason,86188,67454,1,0,1,0.000662,0,0,0,0,1,0,1,0
50826280,0,,Queen Latifah,7994416,741,1,0,1,0.000477,0,0,0,0,1,0,1,0
7744592,0,,TODAY,4251459,7988,3,0,3,0.001471,0,0,0,0,3,0,3,0
42389136,0,,Reverend Al Sharpton,648154,256,1,2,3,0.000556,1,1,1,0.000022,1,2,3,0
1187679030582972417,0,,Rezaul karim,7,77,0,7,7,0.000359,5,0.319277,0.36305,0,0,7,7,0
3045608319,0,,LOUD Bruno PH,412557,218,1,0,1,0.000395,0,0,0,0,1,0,1,0
742143,0,,BBC News (World),28803429,71,5,0,5,0.001221,0,0,0,0,5,0,5,0
818876014390603776,0,,Melania Trump,14898924,8,8,0,8,0.002711,0,0,0,0,8,0,8,0.017857
1194614117543243777,0,,তামান্না রহমান,16151,90,1,1,2,0.000405,1,1,1,0,1,1,2,0
108568373,0,,Sky Sports News,7929769,72,2,0,2,0.001142,0,0,0,0,2,0,2,0
2326857668,0,,UEFA,1250538,1051,1,0,1,0.000686,0,0,0,0,1,0,1,0
