id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
73,"matteson, evan r.",-0.9821,-0.2836,2,27,35,2,30,5.8772,2020,15,2.9386
74,"mcingvale, elizabeth",-1.0119,-0.1261,2,12,12,1,25,4.2105,2019,25,4.2105
75,"mclaughlin, nicole c. r.",-1.0657,-0.103,2,12,12,1,25,4.2105,2019,25,4.2105
76,"messinger, daniel s.",-0.3629,0.4163,3,17,23,5,47,4.1679,2018.25,9.4,0.8336
77,"mirrop, samuel",1.398,-0.1757,1,29,29,1,10,1.4286,2020,10,1.4286
78,"mitchell, wendy",1.2134,0.0374,1,29,29,1,10,1.4286,2020,10,1.4286
79,"morency, louis-philippe",0.1217,-0.1646,4,11,14,3,0,0,2019.6667,0,0
80,"motta, mario",0.1976,0.2898,11,2,2,1,2,0.6667,2021,2,0.6667
81,"nicolaou, mihalis a.",0.4329,0.2423,10,4,4,1,2,0.3368,2019,2,0.3368
82,"niinuma, koichiro",-0.4574,-0.1317,6,3,6,2,2,0.6667,2021,1,0.3333
83,"o'connor, helen t.",0.2611,0.7598,7,6,6,1,29,4.8842,2019,29,4.8842
84,"ogihara, mitsunori",-0.3383,0.5447,3,8,8,1,33,1.9038,2018,33,1.9038
85,"okun, michael s.",-0.613,-0.0423,6,6,6,1,6,0.3462,2018,6,0.3462
86,"oliu simon, marc",-0.2763,-0.5635,5,6,8,2,274,1.99,2016.5,137,0.995
87,"orozco, javier",-0.7104,0.7249,8,5,5,1,1,0.033,2017,1,0.033
88,"oster, harriet",-0.1016,0.4396,3,6,6,1,10,0.5769,2018,10,0.5769
89,"ou, lu",-0.4659,0.4253,3,3,3,1,3,0.099,2017,3,0.099
90,"pantic, maja",-0.0456,-0.4615,5,15,18,3,58,1.9636,2018,19.3333,0.6545
91,"parker, helen m.",0.23,0.7834,7,6,6,1,29,4.8842,2019,29,4.8842
92,"parrish, robert m.",0.1846,0.3115,11,2,2,1,2,0.6667,2021,2,0.6667
93,"pathak, sheel",1.2345,-0.0232,1,29,29,1,10,1.4286,2020,10,1.4286
94,"peled, noam",-0.9337,-0.3532,2,23,23,1,5,1.6667,2021,5,1.6667
95,"pillai, rohith krishnan",-0.1895,-0.2364,4,5,5,1,1,0.1684,2019,1,0.1684
96,"pizzino, amy",1.2928,-0.1158,1,29,29,1,10,1.4286,2020,10,1.4286
97,"pouratian, nader",-0.9366,0.0283,2,8,16,2,12,4,2021,6,2
98,"provenza, nicole r.",-0.8063,-0.1885,2,28,48,4,32,6.1629,2020.25,8,1.5407
99,"ramakrishnan, nithya",-0.902,-0.2967,2,23,23,1,5,1.6667,2021,5,1.6667
100,"ren, gang",-0.3791,0.5657,3,8,8,1,33,1.9038,2018,33,1.9038
101,"sahli, hichem",-0.4282,0.1472,6,5,5,1,2,0.3368,2019,2,0.3368
102,"sanchez-lozano, enrique",-0.0854,-0.3447,4,7,7,1,56,1.8482,2017,56,1.8482
103,"sayette, michael a.",-0.0597,-0.0324,9,5,5,1,20,0.6601,2017,20,0.6601
104,"schiffmann, raphael",1.2048,-0.0695,1,29,29,1,10,1.4286,2020,10,1.4286
105,"schulc, attila",0.0366,-0.4527,5,3,3,1,0,0,2019,0,0
106,"sebe, nicu",-0.4393,-0.3334,6,3,3,1,11,0.6346,2018,11,0.6346
107,"shandar, gayatri",-0.0015,-0.1608,4,5,5,1,0,0,2019,0,0
108,"shen, jie",0.0389,-0.4851,5,3,3,1,0,0,2019,0,0
109,"sherbini, omar",1.3313,0.0052,1,29,29,1,10,1.4286,2020,10,1.4286
110,"sherr, elliott",1.1611,-0.1195,1,29,29,1,10,1.4286,2020,10,1.4286
111,"sheth, sameer a.",-0.8933,-0.0983,2,30,60,6,51,11.1629,2020.5,8.5,1.8605
112,"shults, justine",1.3313,-0.0804,1,29,29,1,10,1.4286,2020,10,1.4286
113,"simons, cas",1.3665,-0.0342,1,29,29,1,10,1.4286,2020,10,1.4286
114,"speltz, matthew l.",-0.2163,0.384,3,11,20,4,24,1.8515,2018,6,0.4629
115,"storch, eric a.",-0.9163,-0.219,2,27,38,3,39,7.1629,2020,13,2.3876
116,"swartz, holly",0.1755,-0.2149,4,6,6,1,0,0,2021,0,0
117,"szirtes, gabor",-0.72,0.6674,8,5,5,1,1,0.033,2017,1,0.033
118,"taft, ryan j.",1.3871,-0.085,1,29,29,1,10,1.4286,2020,10,1.4286
119,"tulyakov, sergey",-0.4064,-0.337,6,3,3,1,11,0.6346,2018,11,0.6346
120,"tzimiropoulos, georgios",-0.1359,-0.5633,5,8,8,1,2,0.1154,2018,2,0.1154
121,"vail, alexandria k.",0.1447,-0.2703,4,6,6,1,0,0,2021,0,0
122,"valstar, michel f.",-0.1163,-0.4456,5,13,15,2,58,1.9636,2017.5,29,0.9818
123,"van der knaap, marjo s.",1.1751,-0.0058,1,29,29,1,10,1.4286,2020,10,1.4286
124,"van haren, keith",1.3525,-0.2123,1,29,29,1,10,1.4286,2020,10,1.4286
125,"vanderver, adeline",1.2986,-0.0398,1,29,29,1,10,1.4286,2020,10,1.4286
126,"viswanathan, ashwin",-0.9386,-0.1478,2,29,51,4,42,9.8772,2020.5,10.5,2.4693
127,"vogt, gregory s.",-0.8892,-0.4055,2,23,23,1,5,1.6667,2021,5,1.6667
128,"wallace, erin r.",-0.1406,0.4764,3,6,11,2,16,1.5874,2018.5,8,0.7937
129,"waters, erica",1.2755,0.0109,1,29,29,1,10,1.4286,2020,10,1.4286
130,"wiese, andrew d.",-0.8204,-0.4051,2,23,23,1,5,1.6667,2021,5,1.6667
131,"wilson, jenny l.",1.1886,-0.1705,1,29,29,1,10,1.4286,2020,10,1.4286
132,"xing, david",-0.8392,-0.3003,2,23,23,1,5,1.6667,2021,5,1.6667
133,"xiong, zhang",0.0292,0.0913,9,4,4,1,6,0.043,2016,6,0.043
134,"xu, junqian",-0.7982,-0.3379,2,23,23,1,5,1.6667,2021,5,1.6667
135,"yang, huiyuan",-0.2197,-0.2694,4,5,5,1,1,0.1684,2019,1,0.1684
136,"yang, le",-0.416,0.0922,6,6,8,2,9,1.5158,2019,4.5,0.7579
137,"yin, lijun",-0.1005,-0.2312,4,14,22,4,57,2.0166,2018.5,14.25,0.5042
138,"yoshor, daniel",-0.8744,0.0143,2,8,16,2,12,4,2021,6,2
139,"zafeiriou, stefanos",0.4635,0.2244,10,4,4,1,2,0.3368,2019,2,0.3368
140,"zeng, jiabei",0.01,0.1243,9,4,4,1,6,0.043,2016,6,0.043
141,"zhang, zheng",-0.1578,-0.2874,4,11,17,3,57,2.0166,2018.3333,19,0.6722
142,"zhao, guoying",0.4461,0.1936,10,4,4,1,2,0.3368,2019,2,0.3368
143,"zhorne, leah",1.3583,-0.1316,1,29,29,1,10,1.4286,2020,10,1.4286
