Source,Target,Type,Id,Label,timeset,Weight
49.0,26.0,Undirected,113,,,3
50.0,24.0,Undirected,116,,,1
50.0,49.0,Undirected,115,,,1
51.0,11.0,Undirected,119,,,2
51.0,26.0,Undirected,118,,,2
51.0,49.0,Undirected,117,,,9
52.0,39.0,Undirected,121,,,1
52.0,51.0,Undirected,120,,,1
53.0,51.0,Undirected,122,,,1
54.0,26.0,Undirected,125,,,1
54.0,49.0,Undirected,124,,,1
54.0,51.0,Undirected,123,,,2
55.0,11.0,Undirected,131,,,19
55.0,16.0,Undirected,132,,,1
55.0,25.0,Undirected,133,,,2
55.0,26.0,Undirected,130,,,21
55.0,39.0,Undirected,128,,,1
55.0,41.0,Undirected,134,,,5
55.0,48.0,Undirected,135,,,4
55.0,49.0,Undirected,127,,,12
55.0,51.0,Undirected,126,,,6
55.0,54.0,Undirected,129,,,1
56.0,49.0,Undirected,136,,,1
56.0,55.0,Undirected,137,,,1
57.0,41.0,Undirected,139,,,1
57.0,48.0,Undirected,140,,,1
57.0,55.0,Undirected,138,,,1
58.0,11.0,Undirected,145,,,4
58.0,27.0,Undirected,143,,,6
58.0,48.0,Undirected,142,,,7
58.0,55.0,Undirected,141,,,7
58.0,57.0,Undirected,144,,,1
59.0,48.0,Undirected,148,,,6
59.0,55.0,Undirected,147,,,5
59.0,57.0,Undirected,149,,,2
59.0,58.0,Undirected,146,,,15
60.0,48.0,Undirected,150,,,1
60.0,58.0,Undirected,151,,,4
60.0,59.0,Undirected,152,,,2
61.0,48.0,Undirected,153,,,2
61.0,55.0,Undirected,158,,,1
61.0,57.0,Undirected,157,,,1
61.0,58.0,Undirected,154,,,6
61.0,59.0,Undirected,156,,,5
61.0,60.0,Undirected,155,,,2
62.0,41.0,Undirected,164,,,1
62.0,48.0,Undirected,162,,,7
62.0,55.0,Undirected,159,,,9
62.0,57.0,Undirected,163,,,2
62.0,58.0,Undirected,160,,,17
62.0,59.0,Undirected,161,,,13
62.0,60.0,Undirected,166,,,3
62.0,61.0,Undirected,165,,,6
63.0,48.0,Undirected,168,,,5
63.0,55.0,Undirected,174,,,1
63.0,57.0,Undirected,170,,,2
63.0,58.0,Undirected,171,,,4
63.0,59.0,Undirected,167,,,5
63.0,60.0,Undirected,173,,,2
63.0,61.0,Undirected,172,,,3
63.0,62.0,Undirected,169,,,6
64.0,11.0,Undirected,184,,,1
64.0,48.0,Undirected,177,,,5
64.0,55.0,Undirected,175,,,5
64.0,57.0,Undirected,183,,,1
64.0,58.0,Undirected,179,,,10
64.0,59.0,Undirected,182,,,9
64.0,60.0,Undirected,181,,,2
64.0,61.0,Undirected,180,,,6
64.0,62.0,Undirected,176,,,12
64.0,63.0,Undirected,178,,,4
65.0,48.0,Undirected,187,,,3
65.0,55.0,Undirected,194,,,2
65.0,57.0,Undirected,193,,,1
65.0,58.0,Undirected,189,,,5
65.0,59.0,Undirected,192,,,5
65.0,60.0,Undirected,191,,,2
65.0,61.0,Undirected,190,,,5
65.0,62.0,Undirected,188,,,5
65.0,63.0,Undirected,185,,,5
65.0,64.0,Undirected,186,,,7
66.0,48.0,Undirected,200,,,1
66.0,58.0,Undirected,196,,,3
66.0,59.0,Undirected,197,,,1
66.0,60.0,Undirected,203,,,1
66.0,61.0,Undirected,202,,,1
66.0,62.0,Undirected,198,,,2
66.0,63.0,Undirected,201,,,1
66.0,64.0,Undirected,195,,,3
66.0,65.0,Undirected,199,,,2
67.0,57.0,Undirected,204,,,3
68.0,11.0,Undirected,206,,,1
68.0,24.0,Undirected,207,,,1
68.0,25.0,Undirected,205,,,5
68.0,27.0,Undirected,208,,,1
68.0,41.0,Undirected,210,,,1
68.0,48.0,Undirected,209,,,1
69.0,11.0,Undirected,213,,,1
69.0,24.0,Undirected,214,,,1
69.0,25.0,Undirected,211,,,6
69.0,27.0,Undirected,215,,,2
69.0,41.0,Undirected,217,,,1
69.0,48.0,Undirected,216,,,1
69.0,68.0,Undirected,212,,,6
70.0,11.0,Undirected,221,,,1
70.0,24.0,Undirected,222,,,1
70.0,25.0,Undirected,218,,,4
70.0,27.0,Undirected,223,,,1
70.0,41.0,Undirected,224,,,1
70.0,58.0,Undirected,225,,,1
70.0,68.0,Undirected,220,,,4
70.0,69.0,Undirected,219,,,4
71.0,11.0,Undirected,230,,,1
71.0,25.0,Undirected,233,,,1
71.0,27.0,Undirected,226,,,1
71.0,41.0,Undirected,232,,,1
71.0,48.0,Undirected,231,,,1
71.0,68.0,Undirected,228,,,2
71.0,69.0,Undirected,227,,,2
71.0,70.0,Undirected,229,,,2
72.0,11.0,Undirected,236,,,1
72.0,26.0,Undirected,234,,,2
72.0,27.0,Undirected,235,,,1
73.0,48.0,Undirected,237,,,2
74.0,48.0,Undirected,238,,,2
74.0,73.0,Undirected,239,,,3
75.0,25.0,Undirected,242,,,3
75.0,41.0,Undirected,244,,,1
75.0,48.0,Undirected,243,,,1
75.0,68.0,Undirected,241,,,3
75.0,69.0,Undirected,240,,,3
75.0,70.0,Undirected,245,,,1
75.0,71.0,Undirected,246,,,1
76.0,48.0,Undirected,252,,,1
76.0,58.0,Undirected,253,,,1
76.0,62.0,Undirected,251,,,1
76.0,63.0,Undirected,250,,,1
76.0,64.0,Undirected,247,,,1
76.0,65.0,Undirected,248,,,1
76.0,66.0,Undirected,249,,,1
