ID|Name|Follower Count|Friends Count|Label
34430522|Blake Griffin|4479690|575|0
273452117|Rene Higuita|707380|595|0
1108472017144201216|Trump War Room - Text TRUMP to 88022|780157|262|0
216935219|jimmy lee dickerson|13|64|1
471741741|PMO India|38225267|486|0
50393960|Bill Gates|51620281|234|0
1094649075021107200|মাইশা আক্তার:revolving_hearts:|39399|1736|1
818928162449068032|The Cabinet|172282|50|0
422201803|Claudio Bravo Muñoz|2071406|1164|0
894527124|T:U.S._Outlying_Islands::star::star::star::United_States:|88|126|1
29458079|Jeanine Pirro|2214815|481|0
272395158|FOX&friends Weekend|154649|115|0
1268970789883314180|DianeValentin9|0|89|1
38495835|Mark R. Levin|2412979|6|0
39344374|Donald Trump Jr.|5490926|1473|0
43017766|Ram Gopal Varma|4538491|53|0
18180495|San Pedro Today|2927|363|1
3420965229|Greg Gianforte|8856|1182|0
140750163|Juan Mata García|7883097|621|0
18462058|Tony Lossano|828|1477|1
722586421622611968|Helenea Dolce|4|209|1
14982804|Ava DuVernay|2671632|13803|0
786309892990574592|Steve Schmidt|1041658|1710|0
19739126|Kevin McCarthy|951081|1397|0
1066820433721331714|David|14|814|0
151123001|Sergio Ramos|17491578|720|0
40793905|Tania Penn|353|1002|1
885487044243238912|President of India|10800083|1|0
528999980|𝓡𝐄𝐍𝐀𝐓𝐀☆· ˖°|94170|62798|1
788752007246905344|CP KARIMNAGAR|12897|37|0
450235955|:United_States:MISCHIEF:United_States:|60109|59313|1
15254807|Internazionale|1230027|397|0
913308968809672705|Anna Paulina Luna|189296|2397|1
18080969|TEDx|553308|1866|0
1864924758|Ceci Connolly|4307|1698|1
199854295|Dyonna|3305|2571|0
18228898|John Legend|13617434|1277|0
112764971|FC Barcelona|15356413|85|0
1170215895895089153|মারিয়া জাহান|40847|1933|0
14957318|NBC Chicago|457844|1473|0
15485441|jimmy fallon|51681749|10023|0
3309200134|Swati Lakra|122813|331|0
295833852|Manohar Lal|1786062|387|0
1270520908592099329|Hemanta Khataniar|1|12|0
384951307|Match of the Day|2975623|110|0
720293443260456960|The Trump Organization|500330|50|0
173744348|EZEGE 1|1723516|556|0
90836187|Andrés Iniesta|24827336|107|0
34927577|CNSNews|121964|1051|0
1154147577014734854|That's OUR Q|2109|3922|1
30621351|Philip Arnold|139463|127721|0
23937786|Top 100 Golf Courses|17982|2854|1
45662364|Drew Parsons|80|388|0
36218435|Los Angeles Magazine|480453|1049|0
1274612817820356608|Ivonne|3|60|1
27000730|Tim Pool|621864|772|0
16882335|Robert_Stark|557|1595|1
5509762|Sarah Huckabee Sanders|642479|2753|0
595515713|Valerie Jarrett|191106|488|0
965590040|Kik: GetLiftedWitMe|216|431|0
25101996|Kimberly Guilfoyle|1779045|2929|0
16174854|James R. Dickey|10886|1181|1
1293914509476679681|Steve|1|5|0
842071545296084992|Katie Miller|30380|246|0
3431530511|Curtis Jones|200696|1|0
96948912|Marco Mengoni|1758588|174|0
145711798|𝙴𝚛𝚒𝚐𝚐𝚊|646773|2448|0
456095936|USC Men’s Golf|4894|505|0
51990743|Freedom.|1763|4962|1
28614550|Real Warriors|51043|16429|0
900528228745478145|Support Felipe Neto ⓢ :Brazil::black_flag:|80763|65|0
20567939|Meek Mill|10258100|1492|0
1209738691096301568|Mohammad jahangir|172|595|0
11348282|NASA|39975735|222|0
1284223303868198914|Felix Santi|17|209|1
851526166100029442|The Next Revolution|67068|259|0
2541363451|गृहमंत्री कार्यालय, HMO India|5369592|131|0
779898205|BLACK LIVES MATTER|2436414|1505|0
145535271|TV9 Telugu|410664|61|0
857250949110300676|Chamakura Malla Reddy|16192|116|0
2617066206|Dr. Ramesh Pokhriyal Nishank|802587|329|0
79581485|Elephant Academy|29789|29648|1
28785486|ABC News|15855056|508|0
34507480|Ariana Grande|76351421|58352|0
14980820|NBCWashington|317157|1637|0
2467791|The Washington Post|16244999|1657|0
18166778|Rep. Jim Jordan|1589944|4014|0
16334281|CBS4 Miami|104451|1430|0
216065430|Stacey Abrams|836278|1731|0
357606935|Elizabeth Warren|4580618|561|0
14364779|Callaway Golf|358181|588|0
259379883|Charlie Sheen|10896179|179|0
122658025|Rajat Sharma|6412566|17|0
1346439824|Rajnath Singh|18315591|418|0
14130366|Sundar Pichai|3156848|351|0
205938621|Trump Colts Neck|5400|457|0
35827739|Chicago20Something|2229|3588|1
3932768472|Emerald Robinson :latin_cross:|218150|12961|0
890891|Bleacher Report|8984500|674|0
823638938590085124|Stephanie Grisham|103721|326|0
46973152|NeNe Leakes|1945790|632|0
276445663|Vivian Salama|28930|3035|0
50769180|Laura Ingraham|3657008|349|0
1754641|NYT Business|811833|446|1
36065771|Condé Nast Traveller|714679|93|0
702576038|Cool Tha Kidd|474|340|0
1140041857|Trump International, Scotland|11409|188|1
63796828|Twitter Verified|3003096|361940|0
822215679726100480|President Trump|31161516|39|0
1297740366318313472|QuakuPromise|14|182|0
19583545|Liverpool FC|15168368|369648|0
49698134|Joy Reid|1814910|6366|0
264316796|#WorldPresident :globe_showing_Americas:|298245|875|0
13850422|CNN Politics|3676419|343|0
950165300|Sidharth Malhotra|9697465|179|0
16331010|TMZ|5532888|913|0
2326377163|R. and 7|7795|8077|1
3004231|Snoop Dogg|18817954|2648|0
612473|BBC News (UK)|11208277|101|0
219617448|Sushma Swaraj|13044823|0|0
19956026|Elvis Duran|316476|1384|0
69079291|On Pap Time|97|145|1
744476125695455232|nicolae cristian|0|193|1
2558684335|Telangana CMO|982737|27|0
101532373|Lorenzo Jovanotti|3796076|1140|0
1118981037944500224|tusharkhan45645 #Digital Marketer|110|636|1
14839147|:United_States: ERIC BOLLING :United_States:|1181035|972|0
2375182790|TRS Party|508812|62|0
835833765033291777|Mason Greenwood|583599|90|0
104040220|HOT GIRL MEG|3834342|568|0
51241574|The Associated Press|14386576|6993|0
84457849|Drudge Buzz|93692|1|1
729676086632656900|Team Trump (Text TRUMP to 88022)|2118895|127|0
322293052|Roma Downey|278568|2670|0
39364684|chrissy teigen|13179439|4723|0
988573326376427520|Secretary Pompeo|2339309|50|0
2935489123|Peter J. Hasson|66306|3410|0
250037542|Faith|118734|23|1
135421739|Sachin Tendulkar|33559260|80|0
1092088353439264769|Ludmila|2|43|0
16664681|Los Angeles Times|3663294|6964|0
328406897|Quentin Sommerville|91982|4391|0
72631996|IRS #COVIDreliefIRS|205975|150|0
145879277|He Sips / She Sips|404|375|1
71201743|Virat Kohli|37379458|62|0
588200416|Maria Elena Boschi|642033|154|0
22938914|Steve Wozniak|626532|92|0
1216971385777664005|Cerol|240198|36|0
309052808|Sandeep Agrawal|11|113|1
26270971|Lena Waithe|223769|3306|0
2838662525|Politicon|21505|3914|0
93069110|Maggie Haberman|1423793|4515|0
245963716|Tiffany Ariana Trump|738550|156|0
18839785|Narendra Modi|61446306|2352|0
44196397|Elon Musk|38215373|97|0
1153045459|Congress|7129998|2418|0
1297256029973954560|°•কাঠ-গোলাপ•°|87|254|0
93070840|Kaylie Newell|11133|849|1
1289004691079274496|njhb55@icloud.com|3|183|1
1115965900199534594|durand roberto|229|1380|0
25676606|Adnkronos|485705|135|0
14673907|EZLinks Golf|1092|347|1
1285129147581214722|Devid Simon|265|4816|1
1072996442|Ashton Jernigan|69|337|1
19230601|Sky Sports|5508829|518|0
23603092|Entertainment Tonight|1587720|313528|0
236597458|Linda|368|353|1
37011822|FRANK PR|2958|1358|1
471352249|Catholic Ways|9659|5484|1
358226078|CRCARCR|581|3388|1
1251920160342056962|chad|4|317|1
33792634|Andrew Ross Sorkin|836369|2853|0
1296445798650126341|Big Red Wave 2020|1|93|1
1042463396128583681|Coronel Hernán Mejía|21151|32|0
970207298|Elizabeth Warren|6134508|492|0
1297012590875312129|MountainMan2020|15|254|1
1297887174176788481|William Pacheco|4|54|0
5392522|NPR|8343623|69704|0
47786101|Robert Downey Jr|15203038|64|0
1295688941056786432|Vita International|47|384|1
1297354304798375936|tom|3|44|1
26487169|Lou Dobbs|2204318|2087|0
240802366|Freemason|86188|67454|0
50826280|Queen Latifah|7994416|741|0
826924399383150592|:United_States:Pastor Dave:United_States:|30186|30320|1
2584178156|Trump Hudson Valley|5873|96|0
7744592|TODAY|4251459|7988|0
42389136|Reverend Al Sharpton|648154|256|0
1187679030582972417|Rezaul karim|7|77|0
3045608319|LOUD Bruno PH|412557|218|0
742143|BBC News (World)|28803429|71|0
818876014390603776|Melania Trump|14898924|8|0
1194614117543243777|তামান্না রহমান|16151|90|0
108568373|Sky Sports News|7929769|72|0
37637826|TRENDYGOLF|9663|1234|1
825573340253450244|Dana|1826|3912|1
2326857668|UEFA|1250538|1051|0
247723476|MATT DRUDGE|568208|0|0
1158691610776887296|Kalla.vinay|4|37|1
1373054690|Christine|0|84|1
877807935493033984|Binance|1235272|344|0
1283358278076882944|wAc|0|212|1
955912704002351104|Robert B. Charles|407|1391|1
23783692|Columbus Blue Jackets|491929|1632|0
172414996|Anna Kooiman|151140|2038|0
1279617214459469824|Taryn Lilly|4|31|0
125441553|Chy'City.tattoos|395|0|1
15811181|Amoeba Music|245413|6160|0
325830217|VP Biden (Archived)|2508430|132|0
158487331|Neymar Jr|48717619|737|0
57987347|Rose Katz|13|134|1
1330457336|Bill Clinton|12180989|35|0
28414319|Benji Davis|535|2060|0
823083|Miguel de Icaza|73361|3189|1
33041426|dax shepard|1164117|625|0
50374439|Tom Hanks|16703277|25|0
18948923|NashvilleBizJournal|63467|2416|1
166739404|Emma Watson|29210785|397|0
14573900|Manchester City|8244705|52076|0
138372303|FIFA World Cup|7744726|553|0
22756947|Women in Technology|172391|22410|1
1964571728|Karim Benzema|11366008|68|0
936367565437157376|Amazon.com.au|3670|9|0
954609672853643264|Simone Prologo|209|1806|1
38164846|Paris Saint-Germain|8049872|137|0
25460615|norman reedus|3860000|9689|0
309366491|Twitch|6918855|686|0
39275966|Robert Herjavec|813859|166|0
1228320788|Poke A Bowl:registered:|47518|18524|0
788524|Guardian news|3360827|1250|0
2421079436|Fire TV :television:|52015|450|0
17919972|Taylor Swift|87031814|0|0
1292335003758559234|Dashrath Das Mahant|0|19|1
17471979|National Geographic|24343849|147|0
1150409755342573569|nairamarley|1803593|13|0
1900999764|Audible.com.au|2839|410|0
1618884925|sol :crystal_ball:|237|226|1
310111388|Ali alale|240|5002|1
863808288789590017|SKHANDA GAWD RADEBE|174|893|1
68034431|Recep Tayyip Erdoğan|16593800|96|0
1884529722|UX How|79429|47864|1
1255195409623904256|mezba kaizer|87|1497|1
1275874445601595392|Rakibulla Mondal|1|49|0
1314883734|Brian Baker|18134|260|0
2363965196|Abhijeet Singh|16|11|1
1257958717322072064|DADAŞLAR|840|1615|0
138203134|Alexandria Ocasio-Cortez|8425236|2706|0
76658323|Intune Music|227|43|0
278146795|ōlloclip|20936|170|0
87719807|Don P. Julio|8132|412|0
3855911|Rodney Rumford|7722|7980|1
807220518|Evan Prokop|1202|637|1
7587032|SkyNews|6314718|27|0
428333|CNN Breaking News|58517473|119|0
69755180|Jacqueline Line|368863|146420|1
6708952|Steve Case|736149|5889|0
814386998140174336|African Freelancers|1160|2247|1
1133445477536542720|Kartik Tyagi|12|119|1
1603882129|Oscar|17448|1356|0
111141045|Brad Woodhouse|27219|1908|0
3298340918|Amazon.ca|15011|175|0
28422142|Colin Quinn|535756|836|0
24828946|Dan Wilson|33|115|1
17230018|Spotify|3684303|17771|0
595689564|AWS UK & Ireland|33978|42|1
14740219|Amazon Music|1874282|3297|0
25330246|T. Boone Pickens|138703|453|0
316033903|Bukowski Quotes|4887|1670|1
20015311|Ricky Gervais|14476502|1456|0
325652151|Bloomberg Hyperdrive|13806|216|1
169940719|Matt Busbridge|1248|1898|1
1199104189374316544|Awalo|139|5002|1
15241557|Reed Hastings|69523|134|0
2793952751|Yılmaz ÖZDİL|1675043|2|0
44282068|Beach Camera|3635|4758|1
1242819338886877184|Abbie Lynn|16|23|0
49305802|Eaur Beauty|393|697|1
2244994945|Twitter Dev|510565|2024|0
2161606332|AWS Amplify|14720|13|1
41931916|soL Haber|736355|12|0
980573135220113408|Vitaliy Zarubin|2|21|0
15670515|Windows|6293623|1714|0
28406270|Kumail Nanjiani|3118233|3210|0
3065618342|Discord|2260126|1054|0
148343494|James Jones|2902|1533|0
730752382691364864|Jareviews Ala|1937|3192|1
142157505|Jason Bateman|1878931|178|0
1406619086|Cardiff Brothers|1344838|1086276|0
790201548739534853|Ravineel Singhi|32|547|1
185142711|BCCI|12277648|75|0
1268871758347558912|AK|0|6|1
15506669|Jeff Bezos|1647359|1|0
768088519088668672|Sium Weldemicael|43|114|1
12|jack|4773376|4513|0
460703687|Serengetee|21561|111|1
49954421|Cool Buckles|589|1565|1
2714290906|nuria paris|5|30|1
14412533|Chris Cillizza|660410|3689|0
1527698995|sortra|44015|40811|1
10441|Phil Gerbyshak|19446|14101|1
54040314|Cristian Aizaga|1109|4849|0
5768872|Gary Vaynerchuk|2190640|12218|0
218078497|Sözcü|2512185|30|0
2217998766|Michael Frost|81|664|0
1026111586652631041|RADINGATE_G|25|110|1
4578679955|Shiro|12114|10817|1
2558843462|Nahid Ahmad|6973|7482|1
51263592|Adam Schefter|7874527|3221|0
19084896|Rick Wilson|1180698|6148|0
31348594|Akshay Kumar|38441235|26|0
346878074|The Bachelor|966193|513|0
1248672392639119360|kenan|5|30|0
2896946410|Ryan|16|98|1
627673190|#UCLfinal|30042227|535|0
933737516|Anker|103187|492|0
2577476334|Jay Carney|45168|1223|0
29873662|Marques Brownlee|4150796|377|0
15808765|Cory Booker|4587353|90817|0
1247630011043061764|Nathalie Huijbers|156|44|0
29734071|Onextrapixel|51037|368|1
29840295|Jessica Simpson|6431805|293|0
185397039|A$AP Pounded Yams :Nigeria::St._Vincent_&_Grenadines::Canada::Lesotho:|119|524|1
21001534|Audible|264846|778|0
702207062|Ryan Schmidt|126|221|1
572373159|Tech Armor|7319|678|1
62614267|Treasure Truck|17909|40|0
13298072|Tesla|6079493|74|0
1549457101|EFF KZN|24206|742|1
70363441|Mustafa Varank|643243|974|0
12447792|Splunk|67947|2745|0
923088309445906433|Thobani Mbambo|317|1005|1
550202880|Raphaël Varane|6012438|104|0
20498872|Sam Petherbridge|186|995|0
1297608510599987210|WetOmeletteThreat|1|92|1
17475575|Best Buy|926175|85|0
556130277|T.C. Sağlık Bakanlığı|1814588|16|0
1261273216686813184|Pragna Balaji Rao|7|47|1
301309392|eNCA|2434531|859|0
1278399152590737409|All In: The Fight For Democracy|355|53|0
2270465620|Mohammed Abdullah|19|198|1
5988062|The Economist|24951178|129|0
21925400|Kathleen Murphy|1215|1080|1
219248343|TRT HABER|3502900|4|0
214620546|Fox Small Business|59885|213|0
1636590253|Tim Cook|12059386|69|0
155878576|droidcon London|5145|1056|1
820744644497641473|Moon Rockets|19901|19623|1
447062632|leon|37|1177|1
17602896|IMDb|4510184|1180|0
279400382|The Bella Bambino|411|1015|1
792119786|Sharon #TeamPelosi|18463|18120|1
234051381|Amazon Developers|42138|961|0
40519997|Chad Johnson|3319930|7228|0
3315713812|TheDesignersMagazine|507|647|1
283080153|Nihat Zeybekci :Turkey:|536713|888|0
500704345|Pope Francis|18761978|8|0
36686040|Maxine Waters|1456409|691|0
198975780|Jordan|4073985|140|0
1036526562|Steven|135|1540|1
2835606110|Amazon Video Shorts|768|67|1
1087750770148159490|Saturn Cloud|3494|2234|1
2879463024|Jason Mirah|106|1087|1
114830976|Felipe A. Pipicano G|113|955|0
1489703012|Ovi Truta|663928|693457|1
2893511188|Ryan Reynolds|16406072|945|0
17220817|Prime Video|1707175|678|0
29501253|Adam Schiff|2447049|777|0
564000560|Denise Landis|1247493|643637|0
196494476|Expresso Show|182581|843|1
815443022011834368|Ragul|126|968|1
1246391614546853900|Danny Blizz|45|112|1
816653|TechCrunch|10115642|959|0
130371704|John J. Chapman|422|1994|0
630788634|Shannon Blockton|817|4342|0
4798685026|Farq|1003|2779|1
15754281|USA TODAY|4126024|790|0
102141753|Amazon Marketplace|8086|89|1
855081857284792320|Stay home, Stay save|30|338|0
147441627|Maryhathor Mora|670|365|0
2838456199|Krishan Paramesvaran|43|160|0
1221972865|♡ Zethu ♡|43376|40699|1
56569906|Paul|547|2141|1
965474152453943296|KINGsley Abueng|554|1547|1
18785482|jgall|60|101|1
74319127|Adah|197|483|1
1106579662136901633|Nader Gamal|12|263|0
2875477562|Círculo Creativo de México|8615|305|0
295674527|İlber Ortaylı|3148562|4|0
512613427|Russell Wilson|5500158|69|0
18200480|Secondipity|568|560|1
14222536|tyler oakley|5738877|806|0
14392222|Matt Perrin|1160|1155|1
248917209|Henry Winkler|751576|691|0
25613925|Samin Nosrat|96799|1930|0
1119512469850877957|WinteryKaz|9|109|1
329247331|Noah Guttman|175|166|1
16072058|Mike Memoli|56153|1989|0
3388886177|BestofDribbble|5064|39|1
383725805|Pınar  Yaycıoğlu|95|2544|1
1060820024632332290|deveshruttala|8|239|1
1087423635772657664|Waziri|21|575|1
800054127682342912|Christopher|5428|7028|1
350118701|Eric Abidal|602141|290|0
15327565|InTheSharkTank.com|87134|10035|1
884808295181160449|Ndo1dlamin emabomvin|1272|1777|0
180505807|Instagram|35184249|165|0
986334204698025984|lamar sofia|169|858|1
85741735|Amazon Help|323214|70|0
1224641811072765952|Rajiv Rathore|0|27|0
35206553|Megan Amram|1151418|4155|0
19795597|AmazonAssociates|45147|33|0
11856892|Meet the Press|639126|420|0
983804207827472385|Myende|988|2469|0
2425151|Facebook|13368883|724|0
231726733|Cosmo Harrigan|689|694|1
818503099|Amazon Fashion|27463|27|0
517077573|Markiplier|12636702|338|0
1192805011954159616|Sai Westwood|25983|65|1
2097571|CNN International|11114193|369|0
18148907|Aviation Week|217731|695|0
53925101|Social Media Examiner #YMS20|519146|2805|0
4898091|Financial Times|6676332|844|0
20793816|Amazon|3361014|50|0
54951973|Mary J. Blige|6057143|323|0
2217416046|@juki gloves industry|567|4565|1
818902172347678720|Amazon News|145544|844|0
378221899|The Build Network|4492|3026|1
2485828098|Sarah Rossing|69|261|1
19923144|NBA|31066771|1749|0
893685430779957249|Amazon sports Seller|25|88|1
1007298607|LA DIVAZA :sparkles:|4213160|2156|0
269865906|Disability:IN|9737|4889|1
19980499|ATP Tour|1590960|578|0
15276225|Lennon Parham|43495|4727|0
66780587|Amazon Web Services|1842386|859|0
1269427146277216256|Dollar Tag|26|280|0
344801362|David Luiz|8808105|199|0
24223641|Michael Pollan|559130|666|0
18948541|Seth MacFarlane|14003960|479|0
1723233727|Patrick Gnonsekan|576|2704|0
1513756614|Shamail|130|3333|1
19566104|Jane Hadley|242|1153|1
2936714848|Muhammadu Buhari|3368153|26|0
18771370|ErikWemple|59534|1707|0
74286565|Microsoft|9000172|2550|0
79714650|mark mcnairy|8855|127|0
15227791|William Shatner|2550089|602|0
705290341004550145|:South_Africa:GIFT:smiling_face_with_halo:|1402|1292|1
769869708359237632|T.C. Millî Savunma Bakanlığı|1568957|15|0
504254599|:person_light_skin_tone_beard:Dr Nc€:B_button_(blood_type):€$:trade_mark::person_light_skin_tone_beard:|42637|33453|1
291428614|Liza Koshy|2916609|905|0
29307276|Kenny Smith|1093173|663|0
18222378|50cent|12178172|12|0
31652974|marcuspro|360|1138|0
17300576|BOBBYBOUTIT :Mexico:|563|700|0
996282520542072832|KINGJAE|13|371|1
255176423|T.R.E.|2385|451|1
1003751744822759425|Lilcecetho|5|21|1
754860209877688320|Noah Schnapp|878739|846|0
136811210|Doobi-Roc Ent|653|2621|1
326031474|Crown Camp :crown:|677|1955|1
78194111|Chelsea Peretti|1483540|1952|0
262633239|Courtney Shayne|617|495|0
1441928208|Brandy Bachman|651|329|0
1149844590146572288|Natalie :smiling_face_with_horns:|75|287|0
147787042|THE LOVE KING|162412|107309|0
12266442|Janelle Monáe, Cindi Mayweather:alien::train::robot::rocket::ringed_planet:|1265177|612|0
214201922|Ninja|6315278|1370|0
2422665828|NBA Draft|263953|458|0
1296022190622679040|Lekuso21st|0|91|0
819543872883884032|dixie|2889993|616|0
1248886320035848193|Bhakt:India:|5|2305|0
358546943|:male_sign:|198140|383|0
1213547487039873025|and i'm gone|3033|4|1
704356884636164096|Waqas Shah|33989|275|0
226944459|#OriginalCopy :cupcake:|2193233|232|0
1216721118368878592|Shamiela|4|72|1
18222599|Lloydbanks|1117012|4332|0
830908366377611266|Walter Shaub|583107|1490|0
17899109|Gates Foundation|2100207|936|0
19955482|Z100 New York|382004|861|0
4634641273|ShowGirlCity|5|83|1
353345238|EPIK1|1475|2898|1
1255066195235143681|مؤسسة الاحمري للمقاولات العامة وكشف تسريبات المياه|1025|623|1
1031715696286281730|HAZLEYEZ :peacock:|1211|1241|1
818283514068017152|Sofia|10886|89|0
1178259705984094209|Tiffany:sun:|26|73|1
857619919|:honey_pot: Honey-B-Sweet :honey_pot:|145510|49340|0
1063034450|Ben Simmons|961800|214|0
35936474|Kevin Durant|18306308|1462|0
1118555288112697345|ً|664|590|1
1171199833895591939|Hon. Victor Hugo Gutierrez|171|1580|0
1273053994986934273|danny poor|3|17|0
4140881832|DrLupo|1791262|1005|0
26703925|Miiiaaa BaBiiii|1530|318|1
320529874|Slim Albaher|113759|706|0
2163885564|Myth|2277111|468|0
42519612|Floyd Mayweather|7864427|512|0
2842841126|Trae Young|717136|90|0
2339333214|Jadon Sancho|435856|51|0
574668919|David Larkin|134|161|1
1059194370|Kobe Bryant|15393249|520|0
1065057521231110144|PaPat|683|3401|1
2557521|ESPN|35743244|322|0
152590667|PUPPS - At it again out 10th|1967|2062|1
1083544133967310848|奶凶奶凶的体育生|295365|423|0
475352813|Gerard kelly|102|372|1
1173227385099083779|Big :basketball: Energy|487|1811|1
112047805|Brit Hume|1248391|802|0
38532460|DeRAY DAVIS: HOOD HERO|832304|5043|0
811350|Alexis Ohanian Sr. :rocket:|340137|5233|0
1284345574641344512|RUSLAN RUSIK|13|1183|0
1156866230|PRADA|1225143|5|0
429247237|Kyle Walker|1531240|325|0
1251557758413017089|Meg|3|9|1
381690659|...|25236|29662|1
27638671|Mindy Dawson|356|434|1
3167789983|Governor Jim Justice|7469|604|0
1072865368975171585|ForeignQueen|24|342|0
852025319447871488|Lovebucks|61|473|1
1270252858600906752|Ella Dowling|7|25|0
131928174|MsZ.Chaos|420|2450|0
1901546563|natasha lyonne|535348|1446|0
1220410068291801088|cakinape|24|415|0
